partition,round,clients,local_epochs,batch_size,learning_rate,mean_local_loss,global_test_loss,accuracy,precision,recall,f1,roc_auc,model_parameters,model_size_bytes,upload_bytes,download_bytes,total_communication_bytes,aggregation_time_seconds,round_time_seconds,method
balanced_noniid,9,10,1,512,0.001,0.6530140936374664,0.633874237537384,0.9238578680203046,0.9387755102040816,0.7931034482758621,0.8598130841121495,0.9410816174646488,15138,60552,605520,605520,1211040,0.0005956000004516,0.0491380000003118,Balanced Non-IID
balanced_noniid,10,10,1,512,0.001,0.6403558492660523,0.6206570267677307,0.9289340101522844,1.0,0.7586206896551724,0.8627450980392157,0.9446787397668072,15138,60552,605520,605520,1211040,0.0005973999996058,0.0487740999997186,Balanced Non-IID
balanced_noniid,11,10,1,512,0.001,0.627833902835846,0.6069185137748718,0.9238578680203046,1.0,0.7413793103448276,0.8514851485148515,0.9470354750682212,15138,60552,605520,605520,1211040,0.0013806000006297,0.0567102000004524,Balanced Non-IID
balanced_noniid,12,10,1,512,0.001,0.6158593535423279,0.5926623940467834,0.9137055837563453,1.0,0.7068965517241379,0.8282828282828283,0.9497643264698584,15138,60552,605520,605520,1211040,0.001388799999404,0.0616492999997717,Balanced Non-IID
balanced_noniid,13,10,1,512,0.001,0.6035217881202698,0.5779982209205627,0.8984771573604061,1.0,0.6551724137931034,0.7916666666666666,0.952865293971719,15138,60552,605520,605520,1211040,0.0013808999992761,0.055946300000869,Balanced Non-IID
balanced_noniid,14,10,1,512,0.001,0.5882745802402496,0.5626491904258728,0.8934010152284264,1.0,0.6379310344827587,0.7789473684210526,0.9544777970726868,15138,60552,605520,605520,1211040,0.0013928000007581,0.0545375000001513,Balanced Non-IID
balanced_noniid,15,10,1,512,0.001,0.5776631712913514,0.5465102791786194,0.8934010152284264,1.0,0.6379310344827587,0.7789473684210526,0.9567104936740264,15138,60552,605520,605520,1211040,0.0013596999997389,0.0558655000004364,Balanced Non-IID
noniid,1,10,1,512,0.001,0.7119870543479919,0.7224646210670471,0.2944162436548223,0.2923076923076923,0.9827586206896552,0.4505928853754941,0.6302406350781444,15138,60552,605520,605520,1211040,0.001661199999944,0.7727532999997493,Unbalanced Non-IID
noniid,2,10,1,512,0.001,0.7037186741828918,0.7134045362472534,0.3096446700507614,0.296875,0.9827586206896552,0.456,0.7524187546514514,15138,60552,605520,605520,1211040,0.0015484000005017,0.049587500000598,Unbalanced Non-IID
noniid,3,10,1,512,0.001,0.7040059328079223,0.7041273713111877,0.3299492385786802,0.3031914893617021,0.9827586206896552,0.4634146341463415,0.8293227486975935,15138,60552,605520,605520,1211040,0.0014122000002316,0.0564512000000831,Unbalanced Non-IID
noniid,4,10,1,512,0.001,0.6877864301204681,0.6945580244064331,0.3959390862944162,0.327683615819209,1.0,0.4936170212765957,0.8749689903249814,15138,60552,605520,605520,1211040,0.0013688999997611,0.0538671000003887,Unbalanced Non-IID
noniid,5,10,1,512,0.001,0.6873663365840912,0.685030996799469,0.4416243654822335,0.3414634146341463,0.9655172413793104,0.5045045045045045,0.9077152071446292,15138,60552,605520,605520,1211040,0.001408099999935,0.050458300000173,Unbalanced Non-IID
noniid,6,10,1,512,0.001,0.6826327979564667,0.6747814416885376,0.6091370558375635,0.4263565891472868,0.9482758620689656,0.5882352941176471,0.9217315802530388,15138,60552,605520,605520,1211040,0.0007131000002118,0.0512432999994416,Unbalanced Non-IID
noniid,7,10,1,512,0.001,0.675757759809494,0.664271891117096,0.7309644670050761,0.5247524752475248,0.913793103448276,0.6666666666666666,0.9286777474572068,15138,60552,605520,605520,1211040,0.0014108999994277,0.0564091000005646,Unbalanced Non-IID
noniid,8,10,1,512,0.001,0.6678330183029175,0.6528338193893433,0.8578680203045685,0.7142857142857143,0.8620689655172413,0.78125,0.935251798561151,15138,60552,605520,605520,1211040,0.001394099999743,0.0519189999995433,Unbalanced Non-IID
noniid,9,10,1,512,0.001,0.659450912475586,0.6405483484268188,0.8934010152284264,0.8245614035087719,0.8103448275862069,0.8173913043478261,0.939593153063756,15138,60552,605520,605520,1211040,0.0013862000005246,0.0555248000000574,Unbalanced Non-IID
noniid,10,10,1,512,0.001,0.651285594701767,0.6279793977737427,0.9238578680203046,0.9387755102040816,0.7931034482758621,0.8598130841121495,0.9428181592656908,15138,60552,605520,605520,1211040,0.0014227000001483,0.056345599999986,Unbalanced Non-IID
noniid,11,10,1,512,0.001,0.6443189144134521,0.614608645439148,0.934010152284264,1.0,0.7758620689655172,0.8737864077669902,0.9456710493674026,15138,60552,605520,605520,1211040,0.0014126000005489,0.0580024999999295,Unbalanced Non-IID
noniid,12,10,1,512,0.001,0.6358410716056824,0.6008788347244263,0.9238578680203046,1.0,0.7413793103448276,0.8514851485148515,0.9481518233688911,15138,60552,605520,605520,1211040,0.0014259999998103,0.054980599999908,Unbalanced Non-IID
noniid,13,10,1,512,0.001,0.626395171880722,0.586083710193634,0.9137055837563453,1.0,0.7068965517241379,0.8282828282828283,0.9515008682709004,15138,60552,605520,605520,1211040,0.0013891999997213,0.0535532999992938,Unbalanced Non-IID
noniid,14,10,1,512,0.001,0.6198201298713684,0.5710933804512024,0.8984771573604061,1.0,0.6551724137931034,0.7916666666666666,0.95373356487224,15138,60552,605520,605520,1211040,0.0016664000004311,0.0568055000003369,Unbalanced Non-IID
noniid,15,10,1,512,0.001,0.6061086773872375,0.5552849769592285,0.8984771573604061,1.0,0.6551724137931034,0.7916666666666666,0.9568345323741008,15138,60552,605520,605520,1211040,0.0014111999998931,0.0590587999995477,Unbalanced Non-IID
